id,text,question,A,B,C,D,E,correct
A1473,"Overfishing is a concerning threat that can lead to the collapse of fish stocks. We assessed the combinations of factors, including biological traits, types of exploitation and responses to sea temperature and salinity changes, that drive species to collapse in the Brazilian Exclusive Economic Zone (EEZ) tropical and subtropical regions. We applied a catch-based method of stock classification and a catch time series of 61 years from 132 exploited fish species. Species were categorized as Collapsed, Overexploited, Fully Exploited or in Development, and we used a GAM analysis to understand their categorization over time. Furthermore, a Redundancy Analysis was developed to assess the species characteristics that best predicted each exploitation category. Twelve species were classified as Collapsed, 55 as Overexploited, 46 as Fully Exploited and 19 as in Development. Tropical and subtropical exploited species collapses in Brazil were best explained by a complex combination of a negative impact of warmer sea temperatures, fishery exploitation and specific life-history traits. A synergistic interaction between these factors could bring species to collapse. We hypothesize that the exploitation of species with vulnerable traits may alter how these species respond to temperature and, therefore, lead them to collapse given that intense exploitation may affect their ability to respond to temperature increases. Measures to mitigate climate change impacts should take into consideration incentives to decrease the exploitation of vulnerable species and, specifically, consider species with more sensitive biological traits. Such measures are also important to minimize the socioeconomic impacts on the people that depend on these species.
 ","What overfishing can lead to?
 ","Collapse of fish stocks.
 ","It is difficult to calculate the cost of developing fields under the salt layer in Brazil, but these may exceed those borne so far. If that layer becomes an object of commercial exploitation, that value could reach US $ 4,000 million or more.
 ","At least 700 species
 ","Non-indigenous species are those that have overcome a natural dispersal barrier and become established in a biogeographical area outside their native range.
 ","The production is projected to continue to expand on all continents, with variations in the range of species and products across countries and regions
 ",Collapse of fish stocks.
A376,"Fish fauna was studied in five sites of the shallow infralittoral of the Paranaguá Bay during the period from October 1999 to September 2000. At each sampling site, fish were sampled with other trawls, salinity and temperature were measured, water samples were taken from the bottom of the water column for determination of dissolved oxygen, dissolved inorganic nitrogen and phosphate. The spatial and temporal behavior of the environmental variables was analyzed by a Principal Component Analysis; Cluster Analysis was used to gather the sampling sites, and Factorial Correspondence Analysis was applied to the most abundant species. Temperature was the most important variable for the distribution of the months, allowing the division of the study period into hot and cold months. The temporal variation in the fish fauna composition was indicated by cluster analysis, with highest percentages of dissimilarity between the sampling sites during hot months. The variation in dissimilarity between the sites occurred due to differences in the number of individuals and species of the catches. The high frequencies of occurrence of Anisotremus surinamensis, Etropus crossotus, Genidens genidens, Micropogonias furnieri and Sphoeroides greeleyi were related to high temperatures. The greatest number of fish and species observed in hot months may be related to the life cycle of many species, which reproduce in warmer months, and whose offspring use estuaries as breeding areas.
 ","What were the species related to high temperatures?
 ","This may be related to the life cycle of many species, which reproduce in the warmer months, and whose offspring use estuaries as breeding areas.
 ","The species Anisotremus surinamensis, Etropus crossotus, Genidens genidens, Micropogonias furnieri and Sphoeroides greeleyi were related to high temperatures.
 ","Collapse of fish stocks.
 ","It was impacted by both the wind and the changes in temperature of the sea surface resulting from this process.
 ","The drought resulted in a decrease of estuarine mean sediment particle size and concurrent changes in macrofaunal benthic assemblages during the driest months.
 ","The species Anisotremus surinamensis, Etropus crossotus, Genidens genidens, Micropogonias furnieri and Sphoeroides greeleyi were related to high temperatures."
A1035,"The vortex-induced vibrations - VIV have been studied for several fields of engineering due to its occurrence in different structures, such as electrical cables, industries chimneys and offshore risers. Although available an extensive literature describing its fundamental issues, these vortex-induced phenomena still deserve investigation, particularly in the offshore platforms installed in regions with high current speed. Recently, the Vortex-Induced Motions - VIM, a particular case of vortex-induced vibration with high magnitude of response amplitude, have been observed in SPAR platforms installed in Gulf of Mexico - GoM, opening a new investigation field. For those motions, aspects such as asymmetric mooring restoring stiffness and the probable three-dimensionality of the flow turn the problem even more complex. Since 2003, in partnership with University of Sao Paulo and consultant companies, PETROBRAS has been studying the use of monocolumn floaters for oil production in Campos Basin and GoM. Considering the environmental conditions in these areas and assuming that monocolumn floaters can exhibit similar VIM behavior of SPAR platforms, it was started an experimental investigation focusing on VIM responses of small-scale monocolumn floaters in towing tank. Although based on the state of art procedures used for SPAR platforms, the monocolumn experiments considered the different geometry of this concept and the larger susceptibility to the three-dimensional effects, due to the smaller relation draft/beam. Special attention was given to the ratio roughness/beam in order to guarantee similarity between the experiments and its respective real cases. Additionally, different heading conditions were also tested. Thus, the present work presents a set of preliminary results and discussions concerning VIM of monocolumn floaters and its impact on the mooring line design and riser specification.
 ","Why have vortex-induced vibrations been studied?
 ","Due to its occurrence in different structures, such as electric cables, industrial chimneys and offshore risers.
 ","The development, together with universities, service companies and the industry, of new technologies for the offshore heavy oil fields, to thereby set the basis for the economical development of the significant volumes of heavy oil already discovered offshore Brazil.
 ","This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
 ","With the results of these procedures, PETROBRAS was able to optimize emergency response procedures and subsequent cleaning efforts.
 ","The age of high pressure conditions in the area
 ","Due to its occurrence in different structures, such as electric cables, industrial chimneys and offshore risers."
A1413,"This work propose research evaluation of the estuarine system in Vitória's port, Espírito Santo - Brazil, which is located on Vitória's bay, within the estuarine system comprising rivers Santa Maria da Vitória, Bubu, Itanguá and Aribiri, which are of economic importance for the local riverside community. The research proposed the evaluation of water quality and sediment used for physical, chemical, microbiological and bioassay analyses, thought evaluation anthropogenic impact derived of port implementation and expansion port process. The monitoring network created consisted of 21 sampling stations numbered from BVP1 to BVP7 and from BVC1 to BVC14. Among the Physico-chemical parameters to be assessed are pH, flow, depth of the vessel transition system, turbidity and salinity. Additionally, highly carcinogenic metals (arsenic, chromium, nickel, copper, lead and zinc), organic parameters and zoobenthos level research in port square thus quantification were important quantified through ecotoxicological tests, chemical analyses, and other organic parameters studies, however quantification total organic carbon (TOC), precipitated carbonate, total nitrogen, total phosphorus, redox potential and flow capacity, which were assessed to better understand the cause of their accumulation and to assess and purification capacitation at estuarine system.
 ","What are the rivers that make up the estuarine system at the port of Vitória?
 ","Santa Maria da Vitória, Bubu, Itanguá and Aribiri.
 ","Phase 0, which is focused on the collection of information, evaluation wells, initial production systems and a pilot project, and Phase 1, which encompasses the definitive production systems.
 ","Due to the importance of these reserves to the Brazilian economy and the opportunity to accelerate cash flow
 ","To serve as a baseline of the plankton carbon, nitrogen and phosphorus stoichiometry for the calibration of biogeochemical and ecological models.
 ","The kurtosis and skewness parameters evidenced the distinction between the three zones on the outer shelf. The results revealed the relationship of hydrodynamic regimes and shelf sedimentation with the in situ carbonate production and trapped relict siliciclastics.
 ","Santa Maria da Vitória, Bubu, Itanguá and Aribiri."
A372,"Hamworthy has supplied its first onboard LNG regasification plant - the first of four such installations due delivery from the supplier. Hamworthy delivered an onboard vaporizer system to be installed on the 145,000 cu m LNG shuttle regasification vessel (SRV) Suez Neptune. SRV are designed to transport and store LNG, and then vaporize it into natural gas that can be sent ashore by subsea pipeline. Hamworthy is supplying three regasification skids per ship. Each shipset will have a regasification capacity of 210 ton/hr of LNG with a send-out pressure of 115 bar. The firm's second project comprises plant for a 138,000 cu m LNG floating storage and regasification unit, Golar Winter. The vessel will be chartered by Petrobras in an LNG import project located in Guanabara Bay, Brazil, where gas will be sent from the vessel to an onshore gas grid.
 ","How does SRVs work?
 ","They transport and store LNG and then vaporize it in natural gas that can be sent to land via submarine pipelines.
 ","A floating production, storage, and offloading vessel.
 ","Some examples would be: smart completions and possibility to inject different chemical products in the wells; gas and water separated lines for each satellite injector; flexible subsea layout, allowing multiples strategies and the addition of more wells; FPSO plants designed to inject desulphated water, or to export, import or reinject me gas, and also to separate variable CO2 contents in the produced fluids
 ","Were first used in the early 1970s
 ","Caves opened in the layers of rock salt can be used to store hydrocarbons and other products.
 ",They transport and store LNG and then vaporize it in natural gas that can be sent to land via submarine pipelines.
A1139,"Terry Knott visited the newbuild Skandi Aker to find out what makes this vessel stand out from the pack. Hailed by operator Aker Oilfield Services (AOS) as the largest monohull subsea well intervention unit yet built, Skandi Aker is targeted primarily at the deepwater well intervention market and will compete directly with more costly mobile offshore drilling units (MODUs) - semisubmersible drilling rigs and drillships. The move to build the vessel is part of a wider strategy by AOS parent company Aker Solutions to create a comprehensive offshore intervention and oilfield services capability. At the end of last year, AOS took delivery of the Skandi Santos, which is now on a five-year contract with Petrobras installing subsea trees, and later this year the Aker Wayfarer will join the AOS trio, ready to be outfitted for construction work.
 ","What is the strategy for AOS to build Skandi Aker vessel?
 ","To create a comprehensive offshore intervention and oilfield services capability.
 ","Deliver Skandi Santos to install subsea trees
 ","A dry tree solution, because they have the advantage of direct access into reservoirs from the floaters. This allows the operators to drill, complete and workover the well directly from the same hosting unit.
 ","It is necessary to relieve the high stresses and stresses at the apex of the buckle, as well as to mitigate the final expansion.
 ","At a Petrobras refinery.
 ",To create a comprehensive offshore intervention and oilfield services capability.
A680,"After the boom of converted floating, production, storage and offloading systems, based on the old VLCC design, many engineering institutes started thinking about optimum dimension for new units. However, these new FPSOs designs carried out worldwide concerns about good seakeeping behavior when considering general weather conditions, in order to apply their project to different locations around the globe. Analyzing the Brazilian specific conditions, it was verified that, considering waves, current and wind characteristics, the dimension proportions found in the projected units were not the best options, mostly because of the swell waves influence. Thus, in a cooperative project between University of Sao Paulo and PETROBRAS, the best dimensions for a specific case were studied, based on real premises from Campos Basin. During the study, the roll motion, which usually creates operational limits during hard environmental conditions, was focused. It was possible not only to evaluate the best breath and draught relations, but also the inclusion of a structured skirt in the ship bilge. The influence of different shapes in the ship's bow and stern were also evaluated, showing interesting results regarding the forces applied on the vessel. All the analyses were conducted considering numerical analysis, and the final dimensions were applied to a scaled model, which allowed to verify the real behavior of the projected unit in a test basin. As a conclusion, it was possible to define an optimized hull for the PETROBRAS premises, giving them a real design to be used in future explorations.
 ","What was evaluated in Campos Basin?
 ","The best breath and draught relations but also the inclusion of the structured skirt in the ship bilge.
 ","The new FPSO design.
 ","A good agreement was observed between the numerical simulations and the experimental results
 ","A floating production, storage, and offloading vessel.
 ","The study involved the implementation of a model that estimates the risk of losing ecosystem services used by different stakeholder groups as a function of (1) the climate threat, (2) the value of the service defined by the stakeholder perception, and (3) the vulnerability of each group in relation to a possible service loss.
 ",The best breath and draught relations but also the inclusion of the structured skirt in the ship bilge.
A354,"The following paper had its development on the continental shelf of Sergipe and southern Alagoas aiming the regional mapping of geomorphological features and sedimentary cover through the study of high-resolution shallow seismic imaging, combined with bathymetry and sedimentology data on the platform. This mapping is pioneer at this region and was part of Águas Rasas Norte Project, conducted by research lab GeoRioeMar of Universidade Federal de Sergipe in partnership with PETROBRAS/CENPES, in the context of MARSEAL Project - Environmental Characterization of Sergipe and Alagoas Basin. The seismic profiles were performed by the sub-bottom profiler Edgetech 3200-XS associated with the control of collected samples. Although the interpretation of geophysical profiles have been carried out with the data without post-processing, it was possible to identify distinct reflectors and features such as reefs, carbonate banks, channels and canyons, beyond the thickness and variance of the acoustic response of distinct near-surface sediments. This preliminary characterization makes more viable seismic studies in detail about the several features and refinement of boundaries between near-surface sediments of the continental shelf of Sergipe-Alagoas. It also gives support to the interpretation of the sedimentary evolution and the possibility to expand its application to other areas such as environmental, sedimentological and geotechnical studies.
 ","How can Águas Rasas Norte Project expand its aplication to other areas of study?
 ","Through the interpretation of geophysical profiles.
 ","The kurtosis and skewness parameters evidenced the distinction between the three zones on the outer shelf. The results revealed the relationship of hydrodynamic regimes and shelf sedimentation with the in situ carbonate production and trapped relict siliciclastics.
 ","The basin covers an area of about 200,000 km, including the present coastal zone and continental shelf.
 ","It was impacted by both the wind and the changes in temperature of the sea surface resulting from this process.
 ","The study involved the implementation of a model that estimates the risk of losing ecosystem services used by different stakeholder groups as a function of (1) the climate threat, (2) the value of the service defined by the stakeholder perception, and (3) the vulnerability of each group in relation to a possible service loss.
 ",Through the interpretation of geophysical profiles.
A718,"This paper describes the application of remote sensing data for oil spill monitoring in the Guanabara Bay, Rio de Janeiro, Brazil. During the emergency, Landsat-5/TM (Thematic Mapper) and Radarsat-1 data were acquired to monitor the location of the spill and its movement. Image classification procedures have been utilized to highlight oil-covered areas on the water surface. Ambiguities in the oil detection were resolved with the aid of ancillary information in a GIS (Geographic Information System) environment. The results obtained helped PETROBRAS to optimize the emergency response procedures and subsequent cleaning efforts.
 ","What is PETROBRAS gain with the image classification procedures?
 ","With the results of these procedures, PETROBRAS was able to optimize emergency response procedures and subsequent cleaning efforts.
 ","Data from Landsat-5/TM (Thematic Mapper) and Radarsat-1.
 ","Yes, Petrobras expects to replace light oil imports with its own production starting with the Espírito Santo oil field.
 ","The Oracle database were used for development and automated of the acquisition, archival, quality control and distribution systems, and these systems update the data on an every hour.
 ","Were first used in the early 1970s
 ","With the results of these procedures, PETROBRAS was able to optimize emergency response procedures and subsequent cleaning efforts."
A2000,"Forty-four companies competed for 23 blocks - 13 offshore and 10 onshore - in Brazil's second bid round in June 2000. That 21 of the 23 blocks on offer were licensed shows that the country remains a big draw among E&P firms. The top bidders include a consortium between Santa Fe Snyder (operator, 45%) and Construtora Norberto Odebrecht (15%), which paid 12.025 million real ($6.68 million) for Block BM-C-8 in the Campos basin; Shell, which offered 65.16 million real for the hotly contested Campos Block BM-C-10, for which it was the sole bidder; and Petrobras, with eight winning bids.
 ","Of the 23 blocks offered in the second bid of oil exploration offered by Brazil's government in June 2000, how many were licensed?
 ","That forty-four companies competed for 23 blocks in early 2000.
 ","In Campos Basin, in offshore Brazil.
 ","21
 ","The development, together with universities, service companies and the industry, of new technologies for the offshore heavy oil fields, to thereby set the basis for the economical development of the significant volumes of heavy oil already discovered offshore Brazil.
 ","With the increased proliferation of human-occupied and modified coastlines, there is a high risk of ecological disturbance to organisms that exclusively use the coastal zone for nesting or nursery purposes, which also reduces the overall bioproductivity of the coastal zone.
 ",21
B2014,"Ocean warming and land ice melt are the main causes of present-day accelerating global mean sea level rise. The global mean sea level has been rising since 1993 (the altimetry era) at a mean rate of 3.1 ± 0.3 mm per year, with a clear superimposed acceleration of approximately 0.1 mm per year. Satellite altimetry has also revealed strong regional variability in the rates of sea level change, with regional rates up to two or three times greater than the global mean in some regions. Owing to global warming, many circulation systems also experience changes. Changes in sea level height, measured with high-precision satellite altimetry, hint at the widening and strengthening of the subtropical gyres in the North and South Pacific. The studies, furthermore, show a poleward movement of many ocean currents, including the Antarctic circumpolar current and the subtropical gyres in the southern hemisphere, as well as western boundary currents in all ocean basins. One of the major ocean current systems, the Atlantic meridional overturning circulation, has already weakened, and it is very likely that it will continue to do so in the future. Impacts that follow such changes include regional sea level rise, changes in nutrient distribution and carbon uptake and feedbacks with the atmosphere. The globally averaged ocean surface temperature data show a warming of 0.62±0.12?°C per century over the period 1900– 2018. In the recent decade (2009–2018), the rate of ocean surface warming is 2.56±0.68?°C c-1. The warming happens in most ocean regions with some areas, such as in the North Atlantic, showing long-term cooling. Since 1955, the upper 2,000 m of the ocean has also exhibited signs of robust warming, as evidenced by the increase in ocean heat content. The spatial patterns of multidecadal salinity changes provide convincing evidence of global-scale water cycle change in the global ocean coincident with warming over the period. The resolved changes are replicated in all observed analyses of long-term salinity changes, and more recently have been reproduced in forced climate model simulations. Those changes are manifested in enhanced salinities in the near-surface, high-salinity subtropical regions and corresponding freshening in the low-salinity regions such as the West Pacific Warm Pool and the poles. Similar changes are also seen in the ocean subsurface, with similar patterns of freshening low-salinity waters and enhanced high-salinity waters represented in each of the ocean basins, Atlantic, Pacific and Indian, and across the Southern Ocean.
 ","Among other things, what equipment is used to measure sea level rise?
 ","Arctic Ocean, Atlantic Ocean, Indian Ocean and Pacific Ocean.
 ","Because of global warming
 ","Because these regions are warming at higher rates than the global average.
 ","Ocean warming and acidification, sea level rise, biological invasions and their interactions with pollution, overfishing, and other stressors
 ","Satellite altimetry
 ",Satellite altimetry
A1657,"We describe the design, implementation, and performance of a fully automated Santos Operational Forecasting System (SOFS), built to monitor and predict short-term (< 3 days) sea surface elevations, currents, temperature, and salinity in the Santos-Sao Vicente-Bertioga Estuarine System (SSVBES). The SSVBES located at 24.0∘S, 46.3∘W is a complex estuarine system with many interconnected channels and two connections with the open sea. The system is prone to storm tides that bring coastal flooding to and interrupt ship traffic through Santos Port. The SOFS hydrodynamic module is based on the Princeton Ocean Model (POM) version POM-rain. The SSVBES model grid is forced by tides, winds, and river runoff and is nested into a coarse-resolution South Brazil Bight (SBB) grid. The SBB grid is forced by winds, density gradients, and the Brazil Current flowing offshore. Within SSVBES, SOFS works in parallel with three real-time observation stations. The model performance was tested against observed data with a best Willmott skill of 0.97 and root mean square error (RMSE) of 13.0 cm for tidal sea level (15.9% of the mean tidal range). For tidal currents, the best skill and RMSE were above 0.99 and 3.9 cm/s (4.3% of the mean tidal current range), respectively. The coupled system was able to simulate seven storm tides with average skill of 0.95 and average RMSE of 17.0 cm. The good agreement with observed data shows the potential use of the designed system to protect both human life and assets.
 ","What is the main benefit of using the Santos Operational Forecasting System (SOFS)?
 ","Monitor and predict sea surface elevations, currents, temperature and salinity. Thus guaranteeing a protection of human life and material goods
 ","Model initialization, data assimilation, and earth system prediction.
 ","It has increased precipitation, winds and extreme sea level events associated with a number of observed tropical cyclones.
 ","seasonal fluctuation in sunlight, cloud cover, tidal variations in water depth and (most significantly, where it occurs) turbidity in the water, caused, for example, by resuspension of sediment by tides or storms or by coastal erosion.
 ","It was impacted by both the wind and the changes in temperature of the sea surface resulting from this process.
 ","Monitor and predict sea surface elevations, currents, temperature and salinity. Thus guaranteeing a protection of human life and material goods"
A998,"As a solution for sand production problems associated with the production of hydrocarbons from sandstone reservoirs, the gravel packing technique (GPT) has been used by Petrobras since the early seventies when some small offshore fields in northeast Brazil were completed with this technique. More recently Petrobras has made important discoveries in unconsolidated to friable turbidite sandstones in Campos Basin area, offshore Rio de Janeiro (fig.1). Carapeba, Vermelho and Pargo fields, the so called Northeastern Pole fields (NP fields); and Albacora and Marlim giants fields, located in deep waters, are among these important discoveries. The GPT has been elected as the only sand control technique suitable to those wells. The paper describes Petrobras search for improvement of GPT to suitably complete NP, Albacora and Marlim wells with this technique. The use of the GPT for Albacora and Marlim is unique and is one of Petrobras challenges to deepwater production.
 ","Where were the small wells completed using GPT in early seventies?
 ","Albacora and Marlim
 ","Petrobras
 ","At 16 production wells at the Albacora Leste field in Campos basin.
 ","Roncador, Marlim Sul and Marlim Leste.
 ","Northeast Brazil
 ",Northeast Brazil
B2374,"Offshore hydrocarbon technologies for survey and exploration Oil and gas survey and exploration techniques locate hydrocarbon resources accumulated under impermeable rock formations. An initial assessment using seismic surveys evaluates the location of hydrocarbon-rich geologic plays (a group of oil- and gas-bearing rocks) that share a common history of hydrocarbon generation, migration and entrapment (Maloney, 2018; Bureau of Ocean Energy Management, 2017). This sets the stage for geological and geophysical surveys to obtain refined data on resource-bearing geological formations. Such surveys also provide an assessment of marine mineral, archaeological and benthic resources and any artificial structures buried and abandoned on the ocean floor. Offshore seismic surveys use specialized vessels equipped with a combination of air guns and other acoustic sources. The equipment also includes hydrophones attached to a set of cables (streamers) towed behind the vessel. The acoustic sources produce a seismic pulse projected toward the ocean floor that reflects off the boundaries between various layers of rock. The reflected pulse is then recorded by the hydrophones and collected for analysis. Recent advances in supercomputing and full waveform inversion technology are transforming resource estimation. Full waveform inversion, a new kind of processing technique applied to existing seismic data using supercomputers, creates a model of the subsurface rock layers in rich detail (Stratas Advisors, 2019). Similarly, advances in four-dimensional seismic technology, coupled with superior computing power, now provide new insights into hydrocarbon reservoir characteristics, thus offering greater certainty to prospective resource developers.
 ","How are performed offshore seismic surveys?
 ","Specialized vessels are equipped with a combination of air guns and other acoustic sources. The equipment also includes hydrophones attached to a set of cables towed behind the vessel.
 ","By using supercomputers it creates a model of the subsurface and the rock layers.
 ","time-lapse seismic (S4D)
 ","The development, together with universities, service companies and the industry, of new technologies for the offshore heavy oil fields, to thereby set the basis for the economical development of the significant volumes of heavy oil already discovered offshore Brazil.
 ","Caves opened in the layers of rock salt can be used to store hydrocarbons and other products.
 ",Specialized vessels are equipped with a combination of air guns and other acoustic sources. The equipment also includes hydrophones attached to a set of cables towed behind the vessel.
A843,"Petrobras will invest at least $3.5 billion in the northeastern state of Bahia through 2010 to expand the local gas networks, boost oil and gas output, and improve refining capabilities. Among the projects, Petrobras plans to invest over $1.2 billion to develop gas produciton at the offshore Manati field in the Camamu-Almada basin. Production should start by January 2006, with output reaching about 4.5 million cu m/day of gas, increasing the state's gas production to 11 million cu m/day of gas.
 ","How much will Petrobras invest in the state of Bahia until 2010 in search of oil?
 ","Petrobras will invest US $ 3.5 billion by 2010 in the state of Bahia.
 ","They can play positive roles in the oil and gas accumulation process.
 ","Differentiating resistive highly saturated free gas or hydrate bearing host sediment from a less resistive low-saturated gas or brine-bearing host sediments.
 ","Over 11 million square kilometers
 ","Petrobras
 ",Petrobras will invest US $ 3.5 billion by 2010 in the state of Bahia.
A1279,"The objective of this article is to evaluate the spatial distribution and quantify the Permanent Preservation Areas in the outfall estuarine of the Apodi-Mossoró River, in Rio Grande do Norte (Northeastern Brazil), for the years 1965 and 2012 according to the environmental legislation. In this way, it was possible to compare projected zoning changes on land use/landcover, as well as implications for wetlands. The methodology involved the reconstruction of scenarios based on norms and evaluation of thematic maps generated from remote sensing products. Digital Image Processing techniques were used to map land use/land cover categories and to identify the boundaries of protected areas in each period. The largest change observed indicates loss of 1,907.09 ha of flooded areas of the fluvial-marine plain, almost totally occupied by salt evaporation tanks. In 1965, three categories of PPA were observed, accounting for 455.17 ha, but for law limitations only 83.45 ha were protected. In relation to 2012, six categories of PPA were detected, totaling 1,051.96 ha, as a consequence of the expansion of protective areas, but the previously consolidated areas reduced to 787.57 ha the size of protected areas in the last period. The brazilian estuarine environment is remarked by the lack of more specific legislation that best protects wetlands. Permanent Preservation Areas are unsufficient to guarantee environmental quality of the coastal region, especially in study area, where there's flood risks and degraded ecosystems.
 ","What are the changes compared in the Apodi-Mossoró estuary?
 ","Coastal areas
 ","Changes in land use and land cover and implications for wetlands.
 ","The Brazilian government's concern with the use of marine resources and coastal areas emerged in this decade.
 ","The study involved the implementation of a model that estimates the risk of losing ecosystem services used by different stakeholder groups as a function of (1) the climate threat, (2) the value of the service defined by the stakeholder perception, and (3) the vulnerability of each group in relation to a possible service loss.
 ","Demands to make them available for deployment in offshore subsea areas.
 ",Changes in land use and land cover and implications for wetlands.
A1726,"This work reports the chemical monitoring of saline water and sediments at Aratu port, All Saints Bay, Brazil, when subjected to a deep dragging process (DDP) over a 2-year period (2010–2012). The aim of this work was to detect which metals had possible deleterious effects on the biota. It analyzed percentage of silt + clay and TOC and metal concentrations (As, Cd, Cu, Cr, Ni, Pb, and Zn) before, during, and after the DDP. The determination of metal concentration in sediments used the following techniques: atomic absorption spectrometer with flame, also with hydrate generation, and cold vapor spectrophotometry. The DDP disturbed the concentrations of metals in sediments and water, but 15 months after the DDP, only Cu and Zn were detectable on the bottom saline water, and 20 months after the DDP, only Zn was detectable in water. This fact indicates that these metals were longer available for absorption by the marine biota with probable deleterious effect. Indeed, studies by others during the DDP in Aratu port, indicated the decrease from 50 to 40 of the number of microalgae species identified. On the other hand, in the sediments, 20 months after the DDP, the concentrations of As, Cr, Cu, Pb, and Hg, returned to the original values, but Ni and Zn did not return to their original values. Comparison with studies by others indicated that the sediments from dredging were inappropriate for disposal at sea. This work indicated that the metals Cu, Ni, and Zn are the most deleterious elements to the marine environment.
 ","What were the techniques used to determine the metal concentration in sediments at Aratu port?
 ","Atomic absorption spectrometer with flame, also with hydrate generation, and cold vapor spectrophotometry.
 ","It was impacted by both the wind and the changes in temperature of the sea surface resulting from this process.
 ","According to Petrobrás, after an 11-year cycle in which the annual increase in crude oil production was, on average, 8.6%, production fell by 3% that year.
 ","There are a number of threats to human health from the marine environment that have already been identified, as an increase in the spread of climate warming related pathogens (e.g. Vibrio). In addition, there is some evidence related to the increase of some harmful algal species related to climate warming in some regions (Hinder and others, 2012; Vezzulli and others, 2016).
 ","The drought resulted in a decrease of estuarine mean sediment particle size and concurrent changes in macrofaunal benthic assemblages during the driest months.
 ","Atomic absorption spectrometer with flame, also with hydrate generation, and cold vapor spectrophotometry."
