id_qa,corpus,question_en_origin,question_pt_origin,question_en_paraphase,question_pt_paraphase,answer_en_origin,answer_pt_origin,answer_en_validate,answer_pt_validate,eid_article_scopus,text_excerpts_un_reports,question_generic,answer_in_text,answer_difficulty,question_meaningful,answer_equivalent,question_type
A1895,1,What is the content os the study case presented in this paper?,Qual o conteúdo do caso de estudo apresentado nesse trabalho?,What does the study case of this work present?,O que o estudo de caso desse trabalho apresenta?,"","","","",2-s2.0-85099313369,"",true,true,1,2,5, What
A1896,1,What the purpose of careful measures in marine parks?,Qual o propósito das medidas de cuidados em parques marinhos?,What is the objective of cautious actions in the marine parks?,Qual a função das ações de cuidado nos parques marinhos?,"","","","",2-s2.0-85043311576,"",true,true,2,2,5, What
A1903,1,What could be the cause of increased reserves and productions in Offshore Brazil as well as significant cost reduction?,"Qual poderia ser a causa do aumento das reservas e produções no mar alto do Brasil, bem como da redução significativa de custos? ",What type of technology could cause a higher output of production in Offshore Brazil along with substantial decreases in costs?,"Que tipo de tecnologia poderia trazer maior produtividade das reservas petrolíferas em alto mar brasileiro, aliado a diminuição considerável de gastos?","","","","",2-s2.0-84897408330,"",true,true,4,2,5, What
A1907,1,What were the sources of information used for this research?,Quais foram as fontes de informação utilizadas para esta pesquisa?,What is the source of the information used for this research?,Qual é a fonte de informação utilizada nesta pesquisa,"","","","",2-s2.0-85080813467,"",true,true,1,2,5, What
A1908,1," 

What is the bottleneck for the sustainability challenges of pursuing national industrial policy?",Qual é o gargalo para com os desafios de sustentabilidade  de perseguir a política industrial nacional?,"","","","","","",2-s2.0-85068049608,"",false,false,5,3,1, What
A1909,1,The successful model employed by the rubber tappers' social movement in the 1980s would have been achieved based on the following principles:,O modelo de sucesso emprendido pelo movimento social dos seringueiros na década de 1980 seria foi conseguida a partir dos seguintes principios:,Thanks to which principles the model employed by the rubber tappers' social movement in the 1980s was successful?,Graças a quais princípios o modelo empreendido pelo movimento social dos seringueiros na década de 1980 foi um sucesso?,"","","","",2-s2.0-85062717506,"",false,true,4,1,1, What
A1910,1,"What happened with population growth  in South America, Brazil?","O que aconteceu com o crescimento populacional na América do Sul, Brasil?","What occurred with increase in population in South America, Brazil?","O que ocorreu com o aumento da população na América do Sul, Brasil?","","","","",2-s2.0-85092499794,"",true,true,1,2,5, What
A1911,1,"What are the reasons why I can PEC-41-DE-9, the potential of oil generation has been evaluated?","Quais são os motivos pelos quais posso PEC-41-DE-9, foi avaliado o potencial de geração petróleo?",Why was PEC-41-DE-9's potential of oil generation been evaluated?,Por que o potencial de geração de petróleo de PEC-41-DE-9 foi avaliado?,"","","","",2-s2.0-84918528762,"",false,true,3,1,1, What
A1912,1," The age estimation difficulty of the basal sedimentary units in the northeastern continental margin basins, especially those of the pre-rift sequence has attracted the attention of several researchers, a fact that directly impacts this estimation?","A dificuldade de estimação de idade das unidades sedimentares basais das bacias da margem continental nordestina, principalmente as da seqüência pré-rifte tem chamado a atenção de diversos pesquisadores, um fato que impacta diretamente nesta estimação é? ",Which factor directly impacts the estimation of age of the  sedimentary units in the northeastern margin basins?,Qual fator impacta diretamente na estimação da idade das unidades sedimentares basais das bacias da margem nordestina?,"","","","",2-s2.0-84864936265,"",true,true,5,1,3, None of the above
A1916,1,What is the hydrogen index of the diagnostic well PEC-41-DE-9?,O que o índice de hidrogênio do poço PEC-41-DE-9 diagnotica?,"","","","","","",2-s2.0-84918528762,"",false,true,3,1,1, What
A1926,1,What was the methodology proposed by the case study in Brazilian wind farms?,Qual foi a metodologia proposta pelo estudo de caso em fazendas de vento brasileiras?,What procedure was suggested by the case study in Brazilian wind farms?,Qual procedimento foi sugerido pelo estudo de caso em parques eólicos brasileiros? ,"","","","",2-s2.0-85053143769,"",true,true,5,5,2, What
A1927,1,What allowed the identification of power deficit due to the wake effect in turbine sectors?,O que permitiu a identificação de déficits de energia devido ao efeito esteira em setores de turbinas?,By what means were the power deficit due to the wake effect in turbine sectors identified?,Por quais meios foram identificados os déficits de energia devido ao efeito esteira em setores de turbinas?,"","","","",2-s2.0-85053143769,"",false,true,5,4,2, What
A1928,1,What are the main limitations of the analysis utilized by the case study?,Quais são as principais limitações das análises utilizadas pelo estudo de caso?,Analyzes used by the case study had limitations. What are the main ones?,Análises utilizadas pelo estudo de caso continham limitações. Quais as principais?,"","","","",2-s2.0-85053143769,"",false,true,1,2,5, What
A152,1,Into how many units is the Martim Vaz Archipelago divided?,Em quantas unidades está dividido o Arquipélago Martim Vaz?,"","",The Archipelago is divided into three main units,O Arquipélago está dividido em três unidades principais,Three main units,Três unidades principais,2-s2.0-85096104148,"",false,true,3,4,4, None of the above
A153,1,From where are the lacustrine carbonate rock samples recovered?,De onde foram recuperadas amostras de rochas lacustres carbônicas,Where were the sample fragments of the lacustrine carbonate rocks retrieved from?,Os fragmentos de amostra das rochas lacustres carbônicas foram resgatados de onde? ,From a well drilled in the Santos Basin.,De um poço perfurado na Bacia de Santos.,"of a well drilled in the Santos Basin, offshore southeast of Brazil","de um poço perfurado na Bacia de Santos, offshore sudeste do Brasil",2-s2.0-85077945350,"",true,true,2,4,4, Where
A1754,1," 
What was the first FPSO to operate in the pre-salt area?",Qual foi o primeiro FPSO a operar na área do pré-sal?,"","",Cidade de Angra dos Reis,Cidade de Angra dos Reis,“Cidade de Angra dos Reis”,“Cidade de Angra dos Reis”,2-s2.0-85075835330,"",true,true,2,3,5, What
A290,1,Which season the 10-m wind over the ESGA blows weaker?,Qual estação do ano o vento 10-m sopra mais fraco sobre a ESGA?,The 10-m wind blows weaker over ESGA in which season?,O vento 10-m sopra mais fraco sobre a ESGA em qual estação do ano?,Autumn season.,Outono.,The 10-m wind blows weaker in the fall., O vento 10-m sopra mais fraco no outono.,2-s2.0-85070853924,"",false,true,2,5,3, When
A322,1,Who invented the torpedo anchor?,Quem inventou a âncora torpedo?,By whom was the torpedo anchor designed?,Por quem foi arquitetada a âncora torpedo?,Petrobras.,Petrobras.,Petrobras.,Petrobras.,2-s2.0-85094168812,"",false,true,1,5,5, Who
A330,1,Which other kind of species resides close to the Mithraculus forceps?,Que outro tipo de espécie habita perto dos Mithraculus forceps?,What kind of species live near Mithraculus forceps,Qual é o tipo de espécie habita perto dos Mithraculus forceps,Other decapod crustaceans.,Outros decápodes.,Decapod crustaceans,Crustáceos decápodes,2-s2.0-43264987,"",false,true,3,5,5, What
A362,1,What were the main products imported with the drop in oil production in 2004?,Quais foram os principais produtos importados com a baixa da produção de petróleo em 2004?,"In 2004, due to the decrease in oil production, which products were imported the most?","Em 2004, devido a diminuição da produção de petróleo quais foram os produtos que tiveram maior importação?","Diesel, naphtha, and LPG.","Diesel, nafta e GLP.","Diesel, naphtha and LPG.","Diesel, Nafta e GLP.",2-s2.0-32444448833,"",false,true,2,5,5, What
A514,1,In  which state does Petrobrás will invest at least $3.5 billion?,Em que estado a Petrobrás irá investir $3.5 bilhões?,"In which state will Petrobras invest $3.5 billion to expand local gas networks, increase oil and gas production and improve refining capacity?","Em qual estado a Petrobrás irá investir $3,5 bilhões para expandir as redes locais de gás, aumentar a produção de petróleo e gás e melhorar a capacidade de refino?",Bahia,Bahia,In Bahia.,Na Bahia.,2-s2.0-17044389842,"",true,true,1,4,5, None of the above
A564,1,How deep is the Albacora field?,Qual é a profundidade do campo de Albacora?,"
The depth of Albacora varies from how much to how much?",A Profundidade de Albacora varia de quanto até quanto?,From 230m to 1900m.,De 230m a 1900m.,"From 230m to 1,900m","De 230m até 1,900m",2-s2.0-85054504118,"",false,true,2,5,5, How
A194,1,Which biogeographic realm host the highest number of species?,Qual reino biogeográfico hospeda o maior número de espécies?,What Period hosts the most variety of species?,Qual periodo possui o maior número de espécies?,The Neotropics.,O Neotropical.,The Neotropics ,"Periodo neotrópico
",2-s2.0-85088029712,"",true,true,2,4,5, What
A231,1,How far away are the two pilot fields used in the pre-salt exploration development strategy?,A que distância ficam os dois campos pilotos utilizados na estratégia de desenvolvimento da exploração do pré-sal?,What is the distance between the two pilot fields used in the pre-salt exploration development strategy and the coast?,Qual a distância entre os dois campos-piloto usados na estratégia de desenvolvimento da exploração do pré-sal e a costa?,300 km from the coast of Rio de Janeiro.,A 300 km da costa do Rio de Janeiro.,300km offshore.,300 km da costa.,2-s2.0-85031996233,"",false,true,2,4,4, How
A232,1,How will the Brazilian population be benefited with the early production of petroleum?,Como a população brasileira será beneficiada com a produção antecipada de petróleo?,How will the early production of oil by Petrobras benefit the Brazilian population?,Como a produção antecipada de petróleo pela Petrobras vai beneficiar a população brasileira?,It will help to supply the growing energy demand.,Irá ajudar a suprir a crescente demanda de energia do país.,Brazilian population will be benefited by  the help on satisfiyng the country's growing energy demand,A população brasileira será beneficiada pela ajuda em satisfazer a crescente demanda energética nacional,2-s2.0-16964104,"",true,true,1,4,5, How
A604,1,What is produced on the Campos bacin?,O que é produzido na Bacia de Campos?,What products do Campos Basin develop?,Quais produtos a Bacia de Campos desenvolve?,oil and natural gas,Óleo e gás natural,Oil and natural gas.,Óleo e gás natural.,2-s2.0-24662461,"",false,true,1,5,5, What
A233,1,Route 3 connects which fields?,A rota 3 conecta quais campos ?,Which fields are connected by Route 3?,Quais campos são conectados pela Rota 3?,Lula Norte to Jaconé beach,Lula Norte à praia de Jaconé,It connects Lula Norte field in Santos Basin to Jaconé Beach/Maricâ,Ela conecta o campo de Lula Norte na Bacia de Santos à Praia de Jaconé / Maricâ,2-s2.0-85050561554,"",false,true,3,5,5, What
A663,1,When was the Roncador field found by Petrobras?,Quando o campo de Roncador foi descoberto pela Petrobrás?,When did Petrobras discover the Roncador field?,Quando a Petrobras descobriu o campo de Roncador?,1996,1996,In 1996.,Em 1996.,2-s2.0-36768397,"",true,true,1,4,5, When
A256,1,The polar characteristics of water molecules allow quantifying what?,As características polares das moléculas de água permitem quantificar o quê?,What do water molecules allow you to quantify?,O que as moléculas de água permitem quantificar?,"Volume of water present in the reservoir, independently of salinity.","O volume de água presente no reservatório, independentemente da salinidade.","Allow quantification of volume of water present in the reservoir, independently of salinity.","Permite a quantificação do volume de água presente no reservatório, independente da salinidade.",2-s2.0-85085774766,"",true,false,1,4,5, What
A904,1,What was the average production of the Marlin Sul field in 2003?,Qual foi a produção média  do campo Marlin Sul em 2003 ?,"In 2003, how much was the Marlim Sul field average oil production ?","Em 2003, quanto foi a produção média de petróleo do campo Marlim Sul? ","151,000 bpd","151,000 bpd","151,000 bpd.",151.000 bpd.,2-s2.0-4043182709,"",false,true,2,5,5, What
A277,1,What is the function of an SRV?,Qual é a função de um SRV?,How does SRV work?,Como o SRV funciona?,"Transport and store LNG, and then vaporize it into natural gas that can be sent ashore by subsea pipeline","Transportar e armazenar GNL e, em seguida, vaporizá-lo em gás natural que pode ser enviado para terra por gasoduto submarino","Transport and store LNG, and then vaporize it into natural gas.","Transportar e armazenar LNG, e então vaporizá-lo em gás natural.",2-s2.0-59649088185,"",false,true,3,5,4, What
A278,1," Where did the ""Vessel Vergina II"" oil spill occur?","Onde ocorreu o derramamento de óleo do ""Vessel Vergina II""?","At which location did the ""Vessel Vergina II"" oil leak happen?","Em que local aconteceu o vazamento de óleo do ""Vessel Vergina II""?","In the São Sebastião channel, located in the state of São Paulo.","No canal de São Sebastião, localizado no estado de São Paulo.",At the São Sebastião channel.,No canal de São Sebastião,2-s2.0-33646023976,"",false,true,1,4,4, Where
A326,1,What units has Petrobras used in the Marlim Field?,Que tipos de unidades foram implantadas nos campos de Marlim?,"","","A range of units has  been used, from Semi-Submersibles to turret-equipped FPSOs.","Uma varidade foi aplicada, de semi-submarinos a unidades flutuantes equipadas com torres.",Semi-submersibles converted to FPSOs equipped with towers.,Semi-submersíveis convertidos a FPSOs equipados com torres.,2-s2.0-33295407,"",false,true,1,5,5, What
A327,1,Where is Mithraculis forceps' natural habitat?,Qual é o habitat natural da espécie Mithracilis forceps?,Where is Mithraculis forceps were sampled?,Onde as pinças de Mithraculis foram coletadas?,Its especies resides close to the Anchieta island.,A espécie habita próximo à Ilha Anchieta.,Anchieta Island ,Ilha Anchieta,2-s2.0-43264987,"",true,true,1,3,4, What
A812,1,How much is Petrobras investing in the offshore gas production in Bahia?,Quanto a Petrobras vai investir na produção de gás na Bahia?,How much will Petrobras invest for gas production in the state of Bahia?,Quanto a Petrobras investirá para a produção de gás no estado da Bahia?,$3.5 billion,$3.5 bilhões,$3.5 billion,"$3,5 bilhões ",2-s2.0-17044389842,"",true,true,1,4,5, None of the above
A1089,1,Where are The Santos Basin Pre-salt reservoirs located?,Onde estão localizados os reservatórios de Pré-Sal da Bacia de Santos?,What is the location of the Santos Basin Pre-salt reservoir?,Qual é a localidade dos reservatórios de Pré-Sal da Bacia de Santos?,In deepwater offshore Brazil,Em águas ultraprofundas da costa brasileira,In deepwater offshore Brazil.,Em águas profundas do alto mar do Brasil,2-s2.0-79955374293,"",true,true,2,5,4, Where
A1301,1,What were the years of research data collection?,Quais foram os anos de coleta dos dados da pesquisa?,Name the years in which the survey was conducted,Cite os anos em que a pesquisa foi realizada,2015 and 2017,2015 e 2017,2015 and 2017,2015 e 2017,2-s2.0-85096833213,"",false,true,3,5,5, What
A1354,1,What is Baía de todos os Santos?,O que é a Baía de Todos os Santos?,"","",Is the second largest coastal bay in Brazil,É a segunda maior baía costeira do Brasil .,"The Baía de Todos os Santos is the second largest coastal bay in Brazil (maximum area of 1223 km2 and average depth of 9,8 m), and is located in the northeast Brazil, In the vicinity of Salvador city.","A Baía de Todos os Santos é a segunda maior baía costeira do Brasil (área máxima de 1223 km2 e profundidade média de 9,8 m), e está localizada no nordeste do Brasil, nas proximidades da cidade de Salvador.",2-s2.0-41849140524,"",true,true,3,5,3, What
A416,1," What is the water depth range of the Campos Basin?
",Qual é a extensão da profundidade da Bacia de Campos?,How many meters is the Campos Basin?,A Bacia de Campos possui uma profundidade de quantos metros?,"Between 500 and 2000 m.
",Entre 500 e 2000 m.,Ranging from 500 to 2000 m.,Variando de 500 a 2000m,2-s2.0-33295123,"",false,true,1,5,5, What
A1439,1,What are the types of polen found in the samples?,Quais foram os tipos de polen encontrados nas amostras?,Which types of polen were found in the samples?,Quais tipos de pólen foram encontrados nas amostras?,Avicennia and Rhizophora,Avicennia e Rhizophora,Avicennia and Rhizophora,Avicennia e Rhizophora,2-s2.0-85060083816,"",false,true,2,5,5, What
A329,1,The Exclusive Economic Zone of Brazil has an oceanic area of what size?,A Zona Económica Exclusiva do Brasil tem uma área oceânica com qual tamanho?,What is the oceanic area in kilometers of the EEC (Exclusive Economic Zone)?,Qual a área oceânica em quilômetros da ZEE (Zona Económica Exclusiva )?,4.5 million square kilometers,4.5 milhões de quilômetros quadrados,"The Brazilian EZE has a rugged ocean area of 4.5 million square kilometers and is consecrated by the word ""Blue Amazon"", an area adjacent to the Brazilian continent, which corresponds to 52% of the national territory.","O ZEE brasileiro tem uma área oceânica acidentada de 4,5 milhões de quilômetros quadrados e é consagrado pela palavra ""Amazônia Azul"", área adjacente ao continente brasileiro, que corresponde a 52% do território nacional.",2-s2.0-85009192413,"",false,true,5,5,4, How
A331,1,What is the name of the brazillian Exclusive Economic Zone oceanic area?,Como se chama a área oceânica da Zona Econômica Exclusiva brasileira?,How the brazilian Exclusive Economic Zone oceanic area is called?,Qual é o nome da área oceânica da Zona Econômica Exclusiva brasileira?,Blue Amazon,Amazônia Azul,Blue Amazon,Amazônia Azul,2-s2.0-85009192413,"",false,true,3,5,5, What
A332,1,What is the size of the Blue Amazon?,Qual o tamanho da Amazônia Azul?,What is the extent of the Blue Amazon?,Qual é a extensão da Amazônia Azul?,Almost half of Brazil.,Quase metade do Brasil.,4.5 million square kilometers,"4,5 milhões de quilômetros quadrados",2-s2.0-85009192413,"",false,true,1,5,3, What
A1707,1,How many gastropod Heleobia australis were found?,Quantos gastrópode Heleobia australis foram encontrados?,"","",21183,21183,97% of the 21839 organisms sampled.,97% dos 21839 organismos amostrados.,2-s2.0-84990861431,"",true,true,1,5,3, How
A339,1,What environmental phenomena induce motions in the SCR (Steel Catenary Riser) floating unit?,Quais fenômenos ambientais induzem movimentos na unidade flutuante do SCR (Steel Catenary Riser)?,The SCR (Steel Catenary Riser) floating unit can be moved by wich  environmental phenomena?,A unidade flutuante do SCR (Steel Catenary Riser) pode ser movimentada por quais fenômenos ambientais?,"Wind, current and sea waves.","Vento, corrente e ondas marítimas.","Wind, current and sea waves","Vento, correnteza e ondas do mar",2-s2.0-345171568,"",false,true,2,5,5, What
A340,1,Where is the Barracuda and Caratinga project located?,Aonde é localizado o projeto Barracuda e Caratinga?,"Campos Basin, in Rio de Janeiro Brazil.","Bacias de Campos, Rio de Janeiro, Brasil.","In Campos Basin, Rio de Janeiro, Brazil.","Na bacia dos Campos, Rio de Janeiro, Brasil.","Campos Basin, in Rio de Janeiro Brazil.","Bacias de Campos, no Rio de Janeiro, Brasil.",2-s2.0-85056094176,"",false,true,1,5,5, Where
A137,1,Why did the Pirataba and Faxinal forests expanded in the late Holocene?,Por que as florestas Pirataba e Faxinal expadiram no final do período holoceno?,Why did the Pirataba and Faxinal forests grow in the late Holocene?,Por que as florestas Pirataba e Faxinal cresceram no final do período holoceno?,"The Pirataba and Faxinal forests expanded because of the high temperatures, an even greater increase in regional rainfall, and improved soil conditions at the end of the late Holocene ","As florestas Pirataba e Faxinal expandiram por causa das altas temperaturas, um crescimento ainda maior na chuva regional e melhores condições do solo ao final do período Holoceno","The Pirataba and Faxinal forests expanded because of the high temperatures, increase in regional rainfall and improved soil conditions.","As florestas Pirataba e Faxinal expandiram devia a altas temperaturas, aumento nas chuvas regionais e condições melhores do solo.",2-s2.0-85099430419,"",false,true,3,4,5, Why
A143,1,Why it is important to protect the Maracaipe River estuary?,Por que é importante proteger o estuário do Rio Maracaipe?,For what reasons is it important to preserve the Maracaipe River estuary?,Por quais motivos é importante preservar o estuário do Rio Maracaipe?,"The predominance of juvenile fish underscores the importance of the Maracaípe River estuary for the maintenance of population stocks of coastal species, demonstrating the urgent demand of management of this environment.","A predominância de peixes juvenis ressalta a importância do estuário do rio Maracaípe para a manutenção dos estoques populacionais de espécies costeiras, demonstrando a urgente demanda de manejo desse ambiente.",The predominance of juvenile fish underscores the importance of the Maracaípe River estuary for the maintenance of population stocks of coastal species.,A predominância de peixes juvenis ressalta a importância do estuário para estoques populacionais de espécies costeiras.,2-s2.0-85067914328,"",false,true,5,4,5, Why
A261,1,Route 3 will interconnect with which other existing route?,A rota 3 ira se interligar com qual outra rota existente?,Which route the route 3 of the gas pipeline export of Petrobras in the Santos Basin Pre-salt area is interconnected?,Em qual rota está interligada a rota 3 de exportação do gasoduto da Petrobras no Pré-sal da Bacia de Santos?,Route 2,Rota 2,Rota 3 is interconnected to export gas pipeline Rota 2 in a loop to permit gas exportation through Maricá and Cabiúnas. ,A Rota 3 está interligada para exportar o gasoduto Rota 2 em uma malha que permite a exportação de gás através de Maricá e Cabiúnas.,2-s2.0-85050561554,"",true,true,1,4,4, None of the above
A378,1,what is the variation of thicknesses of the salt layers?,qual a variação de grossura das camadas de sal?,What is the range of thickness of the salt layers?,Qual o alcance da grossura das camas de sal?,2000m to 5000 m,de 2000m a 5000 m,from 2000m to 5000m,de 2000m até 5000m,2-s2.0-84856741449,"",true,true,1,4,5, What
A571,1,What makes it difficult to log the brazilian offshore salt seal?,O que torna difícil fazer medições sobre o selo costeiro de sais brasileiro?,What is increasing the difficulty of extensive logging of the brazilian offshore salt seal?,O que está aumentando a dificuldade de medições extensivas sobre o selo costeiro de sais brasileiro?,Its depth.,Sua profundidade.,The high costs related to working in that kind of depth.,Os altos custos relacionados com trabalhar com esse tipo de profundidade.,2-s2.0-85101344072,"",false,true,3,5,5, What
A633,1,How many separate source rock systems were identified?,Quantos sistemas separados de rochas-base foram identificados?,What's the total of separate source rock systems identified?,Qual o total de sistemas separados de rochas-base que foram encontrados?,Four.,Quatro.,Four separate source rock systems were identified,Foram identificados quatro sistemas de rochas-base,2-s2.0-84897399429,"",true,true,2,4,5, How
A888,1,What is the most productive oil province in Brazil?,Qual é a província petrolífera mais produtiva do Brasil?,"Which oil province accounts for 62% of current production, and is thus the most productive?","Qual província petrolífera que corresponde a 62% da produção atual, sendo assim a mais produtiva?",The Campos basin.,A bacia de Campos.,The Campos basin is the most productive oil province in Brazil.,A bacia de Campos é a província petrolífera mais produtiva do Brasil.,2-s2.0-24769642,"",false,true,4,5,3, Where
A968,1,What is the name of the bay that Barracuda field is located in?,Qual o nome da baía em que o campo Barracuda está localizado?,"","",Campos,Campos,Bay of Campos,Baia de Campos,2-s2.0-17344364742,"",false,true,1,5,5, What
A931,1,What is the most productive oil province in Brazil?,Qual é a província petrolífera mais produtiva do Brasil?,"","",The Campos basin,A bacia de Campos,The Campos basin,A bacia de Campos,2-s2.0-24769642,"",false,true,1,5,5, What
A1092,1,When were the lacustrine carbonates deposited ?,Quando os carbonatos lacustres foram depositados?,When were the main lake carbonate reservoirs discovered by Petrobras in the Santos Basin deposited?,Quando os principais reservatórios de carbonatos lacustres descobertos pela Petrobras na Bacia de Santos foram depositados?,From the Neobarremian until the Aptian,Do Neobarremiano ao Aptiano,Were deposited from the Neobarremian until the Aptian. ,Foram depositados desde o Neobarremiano até o Aptiano.,2-s2.0-85050643252,"",true,true,3,3,5, When
A1217,1,Where can we find birth places of C. limbatus,Onde podemos achar locais de nascimento de C. limbatus,Which places C.limbatus is born?,Quais lugares C.limbatus nasce?,Throughout the Brazilian coast,Por toda a costa brasileira,Southwestern Atlantic and along the Brazilian coast.,Sudoeste do Atlântico  e ao longo da costa brasileira.,2-s2.0-85092587315,"",false,true,1,5,4, Where
A1247,1,Which is the largest producer of Brazil's oil?,Qual é o maior produtor de petróleo brasileiro?,What is the number one producer of oil in Brazil?,Qual é o produtor número um de petróleo no Brasil?,Miranga Field.,O Campo de Miranga.,Miranga field.,Campo de Miranga.,2-s2.0-14467639,"",true,true,1,3,5, What
A1628,1,Where the new magnetic data were acquired?,Onde os novos dados magnéticos foram adquiridos?,Where was the new magnetic data obtained?,Onde os novos dados magnéticos foram obtidos?,In the Trindade Island,Na Ilha da Trindade,In the Trindade Island.,Na Ilha de Trindade.,2-s2.0-85057560805,"",false,true,3,5,5, Where
A1642,1,In which country are Serra  da Mantiqueira and Serra do Mar?,Em que país fica a Serra da Mantiqueira e a Serra do Mar?,What is the country in which Serra da Mantiqueira and Serra do Mar are located?,Qual é o país em que a  Serra da Mantiqueira e a Serra do Mar estão localizadas?,In Brazil,"No Brasil
",In Brazil.,No Brasil.,2-s2.0-85061179665,"",false,true,2,4,5, Where
A1553,1,Where you can find the Laryngosigma lactea and the Pyrgo oblonga in the Almada River Estuary?,Onde pode-se encontrar a Laryngosigma lactea e a Pyrgo oblonga no Estuário do Rio Almada?,"In the Almadande River Estuary, where are Laryngosigma lactea and Pyrgo oblonga located?","No Estuário do Rio Almadande, a Laryngosigma lactea e a Pyrgo oblonga situam-se em que local?",In deep areas with sandy sediment that are under marine influence.,Em áreas profundas com sedimento arenoso que estão sob influência marinha.,Deep areas with sandy sediment under marine influence.,Áreas profundas com sedimento arenoso sob influência marinha.,2-s2.0-85092100205,"",false,true,1,5,5, Where
A1604,1,Which type of terrain is the one present in the northeastern Guanabara bay?,Qual a categoria de terreno presente na baia de Guanabara?,What is the physical category of the Guanabara Bay soil texture?,Qual é a categoria física da textura do solo da Baía de Guanabara?,Porous.,Poroso,Porous aquifer system.,Sistema aquífero poroso.,2-s2.0-85062607406,"",false,true,5,5,4, None of the above
A1818,1,"In NAF tests, what was the highest average LC50 obtained?",Nos testes do tipo NAF qual foi a maior LC50 média obtida?,"Among the average values obtained in the NAF tests carried out with sediments collected at Jabaquara beach in RJ, which was the highest LC50 value?","Dentre os valores de média obtidos nos testes NAF realizados com sedimentos coletados na praia do Jabaquara em RJ, qual foi o valor mais alto de LC50?",The highest average was 3.53 g.kg-1dw,"A maior média foi 3,53 g.kg-1dw",3.53 g.kg-1dw,3.53 g.kg-1dw.,2-s2.0-85085775753,"",true,true,4,5,5, What
A1866,1,What is usually relevant in the development of tectonic cracks?,O quê costuma ser relevante no desenvolvimento de fendas tectônicas?,What is often relevant in the elaboration of tectonic cracks?,O que é frequentemente relevante na elaboração de fendas tectônicas?,It is the effect of the inheritance of previous structures.,É o efeito da herança de estruturas anteriores.,The effect of previous structures inheritance.,O efeito da herança de estruturas anteriores.,2-s2.0-85101067912,"",false,true,1,4,5, What
A1939,1,Where is Cabo Frio Bay located and what are it's characteristics?,Qual é a localização da baía de Cabo Frio e quais são suas características?,Where is Cabo Frio bay and what are its main features?,Onde fica a baía de Cabo Frio e qual suas principais características?,"Located in SE Brazil, it is a small semienclosed system set adjacent to a region subject to sporadic coastal upwelling. ","Localizada em SE Brasil, é um pequeno conjunto de sistemas semifechados adjacente a uma região suscetível a ressurgência costeira esporádica.","In SE, Brasil. It is a small semi-closed system located adjacent to a region subject to sporadic coastal upwellings.","Em Sergipe, Brasil. Ela é um pequeno sistema semi-fechado situado adjacente a uma região sujeita a ressurgências costeiras esporádicas.",2-s2.0-84891344152,"",false,true,3,4,5, Where
A1922,1," PCBs have had a major impact on dolphins (false killer whale, Guyana and rough-toothed dolphin). What was the relationship found from this study?","Os PCBs tem causado grande impacto nos delfinídeos (baleia assassina falsa, Guiana e golfinho de dentes ásperos). Qual foi a relação encontrada a partir deste estudo?","Based on the studies, concerns vary not only between species conservation but also with regard to human health due to fish consumption.",A partir dos estudos as preocupações variam não só entre a conservação das especies mas também com relação a saúde humana devido ao consumo de peixes. ,"PCBs have caused the impact of delphinids (false killer whale, Guyana and rough-toothed dolphin) given their negative correlation between the individual's total length and the concentration of PCB126 / PCB169. This is very damaging not only in relation to animals, but also to human health through the consumption of meat from marine species.","Os PCBs tem causado impacto dos delfinídeos (baleia assassina falsa, Guiana e golfinho de dentes ásperos) dado sua correlação negativa entre comprimento total do individuo e concentração de PCB126 / PCB169. Isso é muito prejudicial não só em relação aos animais como tambem a saúde humana através do consumo da carne de espécies marinhas.","The high concentrations raise concern not only on the conservation of Brazilian coastal cetaceans, but also on the possibility of human health problem due to consumption of fish from Brazilian estuaries.","As altas concentrações encontradas aumentam a preocupação não só com a conservação dos cetáceos costeiros brasileiros, mas também com a possibilidade de agravos à saúde humana devido ao consumo de peixes dos estuários brasileiros.",2-s2.0-84880007809,"",false,true,2,5,5, None of the above
A1923,1,According to what the derived large-scale fields have large diurnal variations ?,De acordo com o que os campos derivados de grande escala têm grandes variações diurnas?,What were large-scale derived fields based on to have large diurnal variations?,No que os campos derivados de grande escala foram embasados para terem grandes variações diurnas?,The derived large-scale fields have large diurnal variations according to convective activity in the GoAmazon region and the morning profiles show distinct differences between the dry and wet seasons.,Os campos derivados de grande escala têm grandes variações diurnas de acordo com a atividade convectiva na região do GoAmazon e os perfis matinais mostram diferenças distintas entre as estações seca e chuvosa.,According to convective activity in the GoAmazon region and the morning profiles,De acordo com a atividade convectiva na região do GoAmazon e os perfis matinais,2-s2.0-84996602559,"",false,true,3,4,3, What
A1950,1,What does GHSZ stand for?,O que a sigla GHSZ quer dizer?,What does the initials GHSZ stand for?,Qual é o significado da sigla GHSZ?,gas hydrate stability zone,zona de estabilidade de hidratos de gás,Gas hydrate stability zone.,Zona de estabilidade de hidrato de gás.,2-s2.0-85052069920,"",false,true,1,4,5, What
